Ký hiệu ngoại tệ,Tên ngoại tệ,Mua tiền mặt và Séc,Mua chuyển khoản,Bán,Bank Name,Date
USD,Dollar Mỹ,"24,220","24,220","24,520",BIDV,2023-12-20 04:17:46
USD(1-2-5),Dollar,"24,000",-,-,BIDV,2023-12-20 04:17:46
USD(10-20),Dollar,"24,000",-,-,BIDV,2023-12-20 04:17:46
GBP,Bảng Anh,"30,263","30,445","31,404",BIDV,2023-12-20 04:17:46
HKD,Dollar Hồng Kông,"3,058","3,080","3,169",BIDV,2023-12-20 04:17:46
CHF,Franc Thụy Sỹ,"27,540","27,706","28,569",BIDV,2023-12-20 04:17:46
JPY,Yên Nhật,164.65,165.64,173.32,BIDV,2023-12-20 04:17:46
THB,Baht Thái Lan,666.48,673.21,718.93,BIDV,2023-12-20 04:17:46
AUD,Dollar Australia,"16,085","16,182","16,636",BIDV,2023-12-20 04:17:46
CAD,Dollar Canada,"17,829","17,937","18,477",BIDV,2023-12-20 04:17:46
SGD,Dollar Singapore,"17,923","18,032","18,534",BIDV,2023-12-20 04:17:46
SEK,Krone Thụy Điển,-,"2,349","2,427",BIDV,2023-12-20 04:17:46
LAK,Kip Lào,-,0.9,1.25,BIDV,2023-12-20 04:17:46
DKK,Krone Đan Mạch,-,"3,520","3,636",BIDV,2023-12-20 04:17:46
NOK,Krone Na Uy,-,"2,311","2,388",BIDV,2023-12-20 04:17:46
CNY,Nhân Dân Tệ,-,"3,377","3,468",BIDV,2023-12-20 04:17:46
RUB,Rub Nga,-,245,314,BIDV,2023-12-20 04:17:46
NZD,Dollar New Zealand,"14,933","15,023","15,430",BIDV,2023-12-20 04:17:46
KRW,Won Hàn Quốc,16.34,-,19.38,BIDV,2023-12-20 04:17:46
EUR,Euro,"26,184","26,255","27,387",BIDV,2023-12-20 04:17:46
TWD,Dollar Đài Loan,702.71,-,848.87,BIDV,2023-12-20 04:17:46
MYR,Ringgit Malaysia,"4,869.84",-,"5,484.5",BIDV,2023-12-20 04:17:46
SAR,Saudi Arabian Riyals,-,"6,392.33","6,717.96",BIDV,2023-12-20 04:17:46
