AUD,AUSTRALIAN DOLLAR   ,15,589.25,15,746.72,16,253.14
CAD,CANADIAN DOLLAR     ,17,378.84,17,554.38,18,118.93
CHF,SWISS FRANC         ,27,000.62,27,273.35,28,150.47
CNY,YUAN RENMINBI       ,3,312.45,3,345.91,3,454.04
DKK,DANISH KRONE        ,-,3,440.35,3,572.36
EUR,EURO                ,25,455.84,25,712.97,26,853.68
GBP,POUND STERLING      ,29,658.76,29,958.34,30,921.80
HKD,HONGKONG DOLLAR     ,3,022.31,3,052.84,3,151.02
INR,INDIAN RUPEE        ,-,289.69,301.30
JPY,YEN                 ,163.54,165.19,173.11
KRW,KOREAN WON          ,16.01,17.78,19.40
KWD,KUWAITI DINAR       ,-,78,414.60,81,555.75
MYR,MALAYSIAN RINGGIT   ,-,5,139.51,5,252.01
NOK,NORWEGIAN KRONER    ,-,2,183.56,2,276.44
RUB,RUSSIAN RUBLE       ,-,250.95,277.82
SAR,SAUDI RIAL          ,-,6,439.42,6,697.37
SEK,SWEDISH KRONA       ,-,2,282.07,2,379.14
SGD,SINGAPORE DOLLAR    ,17,639.89,17,818.07,18,391.10
THB,THAILAND BAHT       ,605.57,672.86,698.68
USD,US DOLLAR           ,24,020.00,24,050.00,24,390.00
